location,year,category,rank,query
Global,2001,Consumer Brands,1,Nokia
Global,2001,Consumer Brands,2,Sony
Argentina,2015,Qué...,2,Qué es ISIS
Global,2001,Consumer Brands,4,Palm
Greece,2016,Διασημότητες,3,Γιάννης Χαρούλης
Spain,2015,Los términos que más crecieron,2,Eurovisión
South Korea,2015,조리법,5,파김치 맛있게 담는 법
Global,2001,Movies,1,Harry Potter
Global,2001,Movies,2,Lord of the Rings
Israel,2015,סרטים,1,מהיר ועצבני 7
Israel,2015,סרטים,2,50 גוונים של אפור
Japan,2016,映画,3,ズートピア
Russia,2020,«Что такое...?»/«Что значит...?»,1,Пандемия
Russia,2020,«Что такое...?»/«Что значит...?»,2,Коронавирус
Uruguay,2015,Qué es...,3,Qué es un eclipse
Latvia,2018,Visvairāk meklētie notikumi,4,IKEA Latvijā
Lithuania,2018,Filmai,3,Bohemian rhapsody
Estonia,2019,Kõige otsituimad märksõnad Eestis,1,Valimised 2019
Czechia,2019,Smutná loučení,2,Cameron Boyce
Denmark,2019,Mest trendende søgninger,2,Rasmus Paludan
Croatia,2019,Sportska događanja,1,Dinamo - Benfica
Finland,2019,Puheenaiheet,5,Curly girl metodi
France,2020,Tendances de l'année,2,Attestation Covid
Netherlands,2020,Wat is...?,1,Wat is een lockdown?
